file_path,line_number,issue_type,code_snippet
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\course.py",442,"TODO","# TODO remove this condition when templates purged from db"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\course.py",527,"TODO","# TODO remove this condition when templates purged from db"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\course.py",555,"TODO","# TODO remove this condition when templates purged from db"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\course.py",811,"TODO","# TODO remove this condition when templates purged from db"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\course.py",1126,"TODO","# # TODO get rid of defining wiki slug in this org/course/run specific way and reconcile"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\preview.py",36,"token","from openedx.core.lib.xblock_utils import request_token, wrap_fragment, wrap_xblock, wrap_xblock_aside"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\preview.py",114,"TODO","# TODO: aside_type != 'acid_aside' check should be removed once AcidBlock is only installed during tests"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\preview.py",170,"token","request_token=request_token(request)"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\preview.py",184,"token","request_token=request_token(request)"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\xblock_storage_handlers\create_xblock.py",55,"TODO","# TODO need to fix components that are sending definition_data as strings, instead of as dicts"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\xblock_storage_handlers\view_handlers.py",29,"token","from help_tokens.core import HelpUrlExpert"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\xblock_storage_handlers\view_handlers.py",289,"TODO","# TODO: pass fields to get_block_info and only return those"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\xblock_storage_handlers\view_handlers.py",292,"token","if "customReadToken" in fields:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\xblock_storage_handlers\view_handlers.py",473,"TODO","# TODO Allow any scope.content fields not just "data" (exactly like the get below this)"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\xblock_storage_handlers\view_handlers.py",715,"TODO","# TODO: Can we generate a unique but friendly block_id, perhaps using upstream block_id"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\xblock_storage_handlers\view_handlers.py",1290,"token",""video_sharing_doc_url": HelpUrlExpert.the_one().url_for_token("
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\xblock_storage_handlers\view_handlers.py",1380,"token",""highlights_doc_url": HelpUrlExpert.the_one().url_for_token("
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\asset_storage_handlers.py",414,"token","text_search_tokens = text_search.split()"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\asset_storage_handlers.py",416,"token","for token in text_search_tokens:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\asset_storage_handlers.py",417,"token","escaped_token = re.escape(token)"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\asset_storage_handlers.py",421,"token","'$regex': escaped_token,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\asset_storage_handlers.py",679,"TODO","# TODO: this method needs improvement. These view decorators should be at the top in an actual view method,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\git_export_utils.py",9,"subprocess","import subprocess"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\git_export_utils.py",59,"subprocess","used along with the output. Will raise subprocess.CalledProcessError if"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\git_export_utils.py",62,"subprocess","output = subprocess.check_output(cmd, cwd=cwd, stderr=subprocess.STDOUT)"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\git_export_utils.py",108,"subprocess","except subprocess.CalledProcessError as ex:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\git_export_utils.py",127,"subprocess","except subprocess.CalledProcessError as ex:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\git_export_utils.py",146,"subprocess","except subprocess.CalledProcessError as ex:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\git_export_utils.py",169,"subprocess","except subprocess.CalledProcessError as ex:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\git_export_utils.py",175,"subprocess","except subprocess.CalledProcessError as ex:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\git_export_utils.py",180,"subprocess","except subprocess.CalledProcessError as ex:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\helpers.py",286,"FIXME","# FIXME: The DefinitionLocator technically only accepts an ObjectId (or a str representing an ObjectId), but"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\helpers.py",333,"FIXME","# FIXME: This code shouldn't have any special cases for specific block types like video"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\helpers.py",440,"FIXME","# FIXME: This code shouldn't have any special cases for specific block types like video"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\models.py",468,"TODO","# TODO: is there a way to run `subq_container` or `subq_components` depending on the container type?"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tasks.py",697,"TODO","# TODO: Is this really ok?  Seems dangerous for a live course"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\transcript_storage_handlers.py",51,"api_key","3PlayMedia - 'api_key' and 'api_secret_key' are required."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\transcript_storage_handlers.py",52,"api_key","Cielo24 - 'api_key' and 'username' are required."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\transcript_storage_handlers.py",62,"api_key","must_have_props = ['api_key', 'api_secret_key']"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\transcript_storage_handlers.py",64,"api_key","must_have_props = ['api_key', 'username']"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\utils.py",24,"token","from help_tokens.core import HelpUrlExpert"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\utils.py",1563,"token","Utils is used to get help tokens urls."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\utils.py",1568,"token","tokens = list(ini.config['pages'].keys())"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\utils.py",1569,"token","help_tokens = {token: HelpUrlExpert.the_one().url_for_token(token) for token in tokens}"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\utils.py",1570,"token","return help_tokens"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",128,"token","# Translators: This is the status for a video which has duplicate token for youtube"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",131,"token","# processing token was provided in the course settings"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",132,"token","_INVALID_TOKEN = gettext_noop("Invalid Token")"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",161,"token",""invalid_token": _INVALID_TOKEN,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",166,"TODO","# TODO: Add a related unit tests when the VAL update is part of platform"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",592,"token","*   `YouTube Duplicate` if status is `invalid_token`"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",610,"token","elif video['status'] == 'invalid_token':"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",633,"token","course_video_upload_token = course.video_upload_pipeline.get('course_video_upload_token')"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",642,"token","is_video_encodes_ready = not course_video_upload_token and (video['status'] in transcription_statuses)"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",825,"token","course_video_upload_token = course.video_upload_pipeline.get('course_video_upload_token')"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",827,"token","# Only include `course_video_upload_token` if youtube has not been deprecated"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",829,"token","if not DEPRECATE_YOUTUBE.is_enabled(course.id) and course_video_upload_token:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",830,"token","metadata_list.append(('course_video_upload_token', course_video_upload_token))"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",875,"access_key","'aws_access_key_id': settings.AWS_ACCESS_KEY_ID,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",876,"access_key","'aws_secret_access_key': settings.AWS_SECRET_ACCESS_KEY,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",877,"token","'security_token': settings.AWS_SECURITY_TOKEN"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",882,"access_key","'aws_access_key_id': settings.AWS_ACCESS_KEY_ID,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py",883,"access_key","'aws_secret_access_key': settings.AWS_SECRET_ACCESS_KEY"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\modulestore_migrator\api\read_api.py",276,"TODO","TODO: For now, the repeat_handling_strategy is not taken into account. This can be taken into"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\modulestore_migrator\rest_api\v1\views.py",121,"TODO","# TODO: This should check some sort of "allowed to cancel/migrations" permission"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\modulestore_migrator\tasks.py",640,"TODO","source_data.migration.save()  # @@TODO keep or nah?"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\modulestore_migrator\tasks.py",662,"TODO","# TODO: add an intermediate status such as 'partially satisfactory'"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\xblock_config\apps.py",24,"TODO","# TODO: Remove this code when Runtimes are no longer created by modulestores"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\common.py",13,"TODO","Longer TODO:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\common.py",67,"secret_key","SECRET_KEY = 'dev key'"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\common.py",307,"token","AWS_SECURITY_TOKEN = None"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\common.py",837,"token","'csrf.apps.CsrfAppConfig',  # Enables frontend apps to retrieve CSRF tokens."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\common.py",1014,"token","# 5 minute expiration time for JWT id tokens issued for external API requests."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\common.py",1015,"token","OAUTH_ID_TOKEN_EXPIRATION = 5 * 60"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\common.py",1065,"api_key","ZENDESK_API_KEY = ''"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\common.py",1284,"token","# and use a restricted tenant token in place of an API key, so that this Open edX instance"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\common.py",1286,"token","# See https://www.meilisearch.com/docs/learn/security/tenant_tokens"
